RESOURCE_ID,GENERATION_UNIT_ID,NODE_ID,AGGE_TYPE,RESOURCE_TYPE,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
SAW_1_GEN1,SAW_1_GEN1,SAW_GNODEGEN1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
GALLINAS_1_LASVEGASPV,GALLINAS_1_LASVEGASPV,ARRIBAT_1_LASVEGASPVGNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SDP_2_SDCT5,SDP_2_SDCT5,SDP_GNODESDCT5,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
VISTA_6_QF,VISTA_6_QF,VSTA_6_N008,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
MHD_7_BSN1,MHD_7_BSN1,MHD_7_BSN1GNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
RTEDDY_2_SPASR4,RTEDDY_2_SPASR4,SGSGNS4_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
HARDIN_A_1_RMTN,HARDIN_A_1_RMTN,HARDIN_A_1_RMTNGNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
ALPSLR_1_NTHSLR,ALPSLR_1_NTHSLR,T0304_7_N003,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
VOLTA_2_UNIT 2,VOLTA_2_UNIT 2,VOLTA2_7_N002,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SNCLRA_6_OXGEN,SNCLRA_6_OXGEN,OXGEN_7_B1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
AF_2_UNIT4,AF_2_UNIT4,AF_2_UNIT4GNODE,N,GEN,Comments,2022-05-01T07:00:00-00:00,2031-01-01T07:59:59-00:00,2022-05-01T00:00:00,2030-12-31T23:59:59
